source;output;length_x;width_y;thickness_z;macros;contours;detail;notes;status
Examples/CAD-models\Noptiera-1.dxf;Examples/CAD-models/MPR\Noptiera-1.mpr;401;261;18;12;0;12 x BohrVert;;ok
Examples/CAD-models\Noptiera-2.dxf;Examples/CAD-models/MPR\Noptiera-2.mpr;401;261;18;12;0;12 x BohrVert;part turned over so the drilling is done from above | moved to the woodWOP zero point by (0, 261, 0);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_1.mpr;315;58;18;7;0;5 x BohrHoriz, 2 x BohrVert;part laid flat (Y was the thickness direction) | moved to the woodWOP zero point by (157.5, 726, 70);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_2.mpr;315;190;18;16;0;8 x BohrHoriz, 4 x BohrVert, 4 x UfluBohr;moved to the woodWOP zero point by (157.5, 242, -650);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_3.mpr;190;88;18;5;0;1 x BohrHoriz, 4 x BohrVert;part laid flat (X was the thickness direction) | part turned 90 deg so the long side runs along X | moved to the woodWOP zero point by (242, -638, 175.5);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_4.mpr;190;88;18;5;0;1 x BohrHoriz, 4 x BohrVert;part laid flat (X was the thickness direction) | part turned 90 deg so the long side runs along X | part turned over so the drilling is done from above | moved to the woodWOP zero point by (242, 726, 175.5);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_5.mpr;364;144;18;15;0;11 x BohrHoriz, 4 x BohrVert;part laid flat (Y was the thickness direction) | moved to the woodWOP zero point by (182, 762, 20);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_6.mpr;260;144;18;11;0;8 x BohrHoriz, 3 x BohrVert;part laid flat (X was the thickness direction) | part turned 90 deg so the long side runs along X | moved to the woodWOP zero point by (260, -618, 200);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_7.mpr;260;144;18;12;0;8 x BohrHoriz, 4 x BohrVert;part laid flat (X was the thickness direction) | part turned 90 deg so the long side runs along X | part turned over so the drilling is done from above | moved to the woodWOP zero point by (260, 762, 200);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_8.mpr;401;261;18;12;0;12 x BohrVert;part turned over so the drilling is done from above | moved to the woodWOP zero point by (200.5, 0.5, 780);ok
Examples/CAD-models\Test-noptiera.dxf;Examples/CAD-models/MPR\Test-noptiera_9.mpr;401;261;18;12;0;12 x BohrVert;moved to the woodWOP zero point by (200.5, 260.5, -600);ok
